Name,Description
exception ConnectionError,A base class for connection-related issues.
exception BrokenPipeError,"A subclass of ConnectionError, raised when trying to write on a pipe while the other end has been closed, or trying to write on a socket which has been shutdown for writing. Corresponds to errno EPIPE and ESHUTDOWN."
exception ConnectionAbortedError,"A subclass of ConnectionError, raised when a connection attempt is aborted by the peer. Corresponds to errno ECONNABORTED."
exception ConnectionRefusedError,"A subclass of ConnectionError, raised when a connection attempt is refused by the peer. Corresponds to errno ECONNREFUSED."
exception ConnectionResetError,"A subclass of ConnectionError, raised when a connection is reset by the peer. Corresponds to errno ECONNRESET."
exception FileExistsError,Raised when trying to create a file or directory which already exists. Corresponds to errno EEXIST.
exception FileNotFoundError,Raised when a file or directory is requested but doesn’t exist. Corresponds to errno ENOENT.
exception InterruptedError,Raised when a system call is interrupted by an incoming signal. Corresponds to errno EINTR.
exception IsADirectoryError,Raised when a file operation (such as os.remove()) is requested on a directory. Corresponds to errno EISDIR.
exception NotADirectoryError,"Raised when a directory operation (such as os.listdir()) is requested on something which is not a directory. On most POSIX platforms, it may also be raised if an operation attempts to open or traverse a non-directory file as if it were a directory. Corresponds to errno ENOTDIR."
exception PermissionError,"Raised when trying to run an operation without the adequate access rights - for example filesystem permissions. Corresponds to errno EACCES, EPERM, and ENOTCAPABLE."
exception ProcessLookupError,Raised when a given process doesn’t exist. Corresponds to errno ESRCH.
exception TimeoutError,Raised when a system function timed out at the system level. Corresponds to errno ETIMEDOUT.
exception Warning,Base class for warning categories.
exception UserWarning,Base class for warnings generated by user code.
exception DeprecationWarning,Base class for warnings about deprecated features when those warnings are intended for other Python developers.
exception PendingDeprecationWarning,"Base class for warnings about features which are obsolete and expected to be deprecated in the future, but are not deprecated at the moment."
exception SyntaxWarning,Base class for warnings about dubious syntax.
exception RuntimeWarning,Base class for warnings about dubious runtime behavior.
exception FutureWarning,Base class for warnings about deprecated features when those warnings are intended for end users of applications that are written in Python.
exception ImportWarning,Base class for warnings about probable mistakes in module imports.
exception UnicodeWarning,Base class for warnings related to Unicode.
exception EncodingWarning,Base class for warnings related to encodings.
exception BytesWarning,Base class for warnings related to bytes and bytearray.
exception ResourceWarning,Base class for warnings related to resource usage.
"exception BaseExceptionGroup(msg, excs)","Both of these exception types wrap the exceptions in the sequence excs. The msg parameter must be a string. The difference between the two classes is that BaseExceptionGroup extends BaseException and it can wrap any exception, while ExceptionGroup extends Exception and it can only wrap subclasses of Exception. This design is so that except Exception catches an ExceptionGroup but not BaseExceptionGroup."
